Operacion,Cantidad de Datos,Tiempo Total (s),Tiempo Promedio por Dato (s)
insert() BST,5000,0.5476166669977829,0.00010952333339955658
insert() AVL,5000,0.014550499996403232,2.9100999992806466e-06
search() BST,5000,0.6319307500016293,0.00012638615000032586
search() AVL,5000,0.002098666998790577,4.197333997581154e-07
Operacion,Cantidad de Datos,Tiempo Total (s),Tiempo Promedio por Dato (s)
insert() BST,10000,2.2444382079993375,0.00022444382079993375
insert() AVL,10000,0.03146825000294484,3.1468250002944843e-06
search() BST,10000,2.4228325830044923,0.00024228325830044924
search() AVL,10000,0.00422120800067205,4.22120800067205e-07
Operacion,Cantidad de Datos,Tiempo Total (s),Tiempo Promedio por Dato (s)
