Operacion,Cantidad de Datos,Tiempo Total (s),Tiempo Promedio por Dato (s)
insert() BST,5000,0.5478542089986149,0.00010957084179972298
insert() AVL,5000,0.014335458996356465,2.867091799271293e-06
search() BST,5000,0.6234035000015865,0.0001246807000003173
search() AVL,5000,0.0019582910026656464,3.916582005331293e-07
Operacion,Cantidad de Datos,Tiempo Total (s),Tiempo Promedio por Dato (s)
insert() BST,10000,2.227883457999269,0.0002227883457999269
insert() AVL,10000,0.051034666001214646,5.103466600121465e-06
search() BST,10000,2.4297111249979935,0.00024297111249979935
search() AVL,10000,0.004321207998145837,4.321207998145837e-07
Operacion,Cantidad de Datos,Tiempo Total (s),Tiempo Promedio por Dato (s)
insert() BST,25000,14.119995416993333,0.0005647998166797333
insert() AVL,25000,0.08473404200049117,3.389361680019647e-06
search() BST,25000,15.337394499998481,0.0006134957799999392
search() AVL,25000,0.011706292003509589,4.682516801403835e-07
